idfamilletissus;dateentree;datefacturation;idcategorietissus;idclassematierepremiere;idutilisationwms;numerobc;numerobl;numerofacture;idfournisseur;idclient;modele;saison;designation;reftissu;composition;couleur;laize;qtecommande;idunitemesurematierepremiere;qterecu;tauxecart;nbrouleau;nblot;prixunitaire;idunitemonetaire;resterecevoir;fret;commentaire;etat
1;03/10/2024;01/10/2024;2;2;2;A05094;246514;F215498Z;1;100;ANCELIN;E25;GIMALAYO;TT-B DT54 R1;100% COTTON BCI;BLUE/BNA;167/170;6.5;1;6.5;100;1;1;5;2;0;NULL;COUPON;0
1;03/10/2024;01/10/2024;2;2;2;A04797;246517;F215502Z;1;2;MARIN;E25;BENIN;TT-B DL52 R2;100% COTTON BCI;TUFU/BLUE/NA;158/161;5;1;5;100;1;1;5;2;0;NULL;COUPON;0
1;01/10/2024;01/10/2024;2;2;2;2832/LOI/2024;Non-referencé;Non-referencé;NULL;30;PLM-111656 RMS509359136;H24;YH8671;Non-referencé;100% COTTON;RAYURE BLANC ROSE;142;19.4;1;19.4;100;1;1;1.89;2;0;NULL;COUPON;0
1;08/05/2024;08/05/2024;2;2;1;Non-referencé;Non-referencé;MCV 24050087;38;2;TPINK2;H24;POLYCOTON;TC8020;80% POLY 20% CO;Teinté BLEU NUIT;145;450;1;-21;100;3;1;0;3;0;NULL;retour MANQUE APRES INSPECTION;0
1;05/10/2024;15/08/2024;2;1;1;Non-référencé;Non-référencé;#LOI/08/3152;34;2;COMMUN;E23;POLYCOTON #2 FABRIC;TC8020;80% POLY 20% CO;BLANC;145;5000;1;4929;98.58;24;1;1.1;2;71;NULL;DILLARDS GLOBAL pour E25;0
1;08/10/2024;25/09/2024;2;2;1;2717/LOI/2024;Non-referencé;SL- LOI2401/02;NULL;30;PLM 111127;E25;YHB8671;Non-referencé;100% COTTON;26# STONE;145;1860;1;1852.5;99.59;23;1;1.89;2;7.5;NULL;NEANT;0
1;08/10/2024;25/09/2024;2;2;1;2832/LOI/2024;Non-referencé;SL- LOI2401/02;NULL;30;PLM 111656;E25;YH8671;Non-referencé;100% COTTON;25#PINK;145;466;1;480.9;103.19;4;1;1.89;2;0;NULL;NEANT;0
1;08/10/2024;26/09/2024;2;2;1;2210/LOI/2024;1513973;200137654;19;100;Non-referencé;E25;LIBERTY;BETSY TANA LAWN 036374520W;100% COTTON;FOND BLANC FLEUR VERT/ROSE;136;6065;1;5787;95.41;48;1;10.6;1;268;NULL; EMP B31/B32 MODELE BEATRICE =4132 mts BOUSSOLE= 623 mts AMELINE=920 mts COLINE =390 mts;0
1;08/10/2024;26/09/2024;2;2;1;1733/LOI/2024;1513973;200137654;19;100;CARAVELLE;E24;LIBERTY ;BETSY TANA LAWN 036373529X PETIT VERGER;100% COTTON;FOND BLANC FLEURI ROSE;136;161.2;1;161.2;100;5;1;12.1;1;0;NULL;MODELE CACHETTE;0
1;08/10/2024;26/09/2024;2;2;1;2243/LOI/2024;1512662;200137653;19;100;COCOTTI REA;E24;LIBERTY ;CIARA PICCADILLY POPLIN 012268508Y;100% COTTON;FOND BLANC FLEURI ROSE FUSHIA;146;46;1;45.9;99.78;1;1;10.85;1;0;NULL;MODELE BLOOMER LAPIN;0
1;09/10/2024;07/10/2024;1;2;1;2245/LOI/2024;246535;F215744Z;1;100;CAPUCETTE;E24;APRECIA;G 30890R;100% COTTON ORG GOTS;VERT EMERAUDE;156/159;421.6;1;308.2;96.72;4;2;5.25;2;113.4;NULL;3EME ARRIVAGE MODELE BARBARA;0
1;09/10/2024;07/10/2024;1;2;1;2244/LOI/2024;246359;F215734Z;1;100;CORALIE-COROLLE;E25;APRECIA;II-G 13684 V2;100% COTTON ORG GOTS;ROSE/BA;156/159;5223;1;4562.6;87.35;37;4;5.15;2;660.4;NULL;1ERE ARRIVAGE  EMP D12/C11;0
1;17/09/2024;17/09/2024;2;2;1;Non-referencé;Non-referencé;Non-referencé;94;32;TIPHANY;E25;VOILE DE COTTON SIDOGRAS ;Non-referencé;100% COTTON;082 BLANC LAIT;145;2;1;-0.2;100;0;0;0;1;0;NULL;retour MANQUE TISSU;0
1;17/09/2024;17/09/2024;2;3;1;Non-referencé;Non-referencé;Non-referencé;94;32;EBORA;E25;SOKTAS ROYAL;Non-referencé;100% COTTON;BLANC;145;1.95;1;0.25;100;0;0;0;1;0;NULL;retour SURPLUS TISSU;0
1;09/10/2024;27/09/2024;1;1;1;2990/LOI/2024;246404;F215364Z;1;100;CAROLINE;E24;APRECIA;O 10000 DOUBLE BLANCHIMENT;100% COTTON ORG;BLANC;156/159;330;1;427.5;129.54;3;2;4.75;2;0;NULL;MODELE GIGOUTEUSE TROUSSEAU 0-6M=108m  GIGOUTEUSE TROUSSEAU  6-24M=221m;0
1;09/10/2024;27/09/2024;1;2;1;2245/LOI/2024;246375;F215333Z;1;100;CAPUCETTE;E24;APRECIA;G 30890R;100% COTTON ORG GOTS;VERT EMERAUDE;156/159;113.4;1;262.2;104.2;4;1;5.25;2;0;NULL;CHOIX AR 4EME ARRIVAGE;0
1;09/10/2024;27/09/2024;1;2;1;2245/LOI/2024;246375;F215333Z;1;100;BARBARA;E25;LASMINA;UU-G 30890R;100% COTTON ORG GOTS;VERT EMERAUDE;146/149;179;1;284.5;104.83;3;1;3.3;2;0;NULL;3EME ARRIVAGE;0
1;09/10/2024;27/09/2024;1;2;1;2244/LOI/2024;246391;F215347Z;1;100;CORALIE-COROLLE;E25;APRECIA;II-G 13684 V2;100% COTTON ORG GOTS;ROSE/BA;156/159;660.4;1;42.8;88.17;1;1;5.15;2;623.6;NULL;2EME ARRIVAGE EMP D12/C11;0
1;09/10/2024;01/10/2024;2;2;1;2977/LOI/2024;246508;F215489Z;1;100;GIGOUTEUSE PETIT MARIN;E24;LASMINAX;B 31036R ;100% COTTON;BLEU CELESTE;153/156;315;1;326.6;103.68;3;2;3.6;2;0;NULL;POUR E25;0
1;13/04/2024;26/03/2024;2;3;1;Non-referencé;4888;19065473;47;106;TZ30081 ROBE11- TZ12021 BLOUSE2;H24;FLEURS A LA CAMPAGNE;5946-T;85% VISCOSE 15% LAINE;30 PECHE;136;616.6;1;29;100;10;1;0;1;0;NULL;retour COUPE ;0
